Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Ashanti,Offinso North,A.M.E Zion Clinic,Clinic,Afrancho,CHAG,7.40801,-1.96317
Ashanti,Bekwai Municipal,Abenkyiman Clinic,Clinic,Anwiankwanta,Private,6.46312,-1.58592
Ashanti,Adansi North,Aboabo Health Centre,Health Centre,Aboabo No 2,Government,6.22393,-1.34982
Ashanti,Afigya-Kwabre,Aboabogya Health Centre,Health Centre,Aboabogya,Government,6.84177,-1.61098
Ashanti,Kwabre,Aboaso Health Centre,Health Centre,Aboaso,Government,6.84177,-1.61098
Ashanti,Offinso North,Aboffour Health Centre,Health Centre,Aboffour,Government,7.12986,-1.73294
Ashanti,Atwima-Nwabiagya,Abuakwa Maternity Home,Maternity Home,Abuakwa,Private,7,-2
Ashanti,Atwima-Kwanwoma,Aburaso Methodist clinic,Clinic,Aburaso,CHAG,6.66133,-1.67662
Ashanti,Ejisu-Juaben Municipal,Achiase Health Centre,Health Centre,Achiase,Government,6.45543,-1.31004
Ashanti,Mampong Municipal,Adidwan Health Centre,Health Centre,Adidwan,Government,7.25163,-1.40278
Ashanti,Amansie West,Adimposo CHPS,CHPS,Adimposo,Government,6.33659,-1.92588
Ashanti,Asante-Akim North Municipal,Adom Hospital,Hospital,Akratiebesa,Private,6.61879,-1.19202
Ashanti,Ahafo-Ano South,Adom Maternity Home,Maternity Home,Adinyana,Private,6.88364,-1.87334
Ashanti,Afigya-Kwabre,Adwumakase Kese Health Centre,Health Centre,Adwumakase Kese,Government,6.80813,-1.53933
Ashanti,Sekyere South,Afamaso Maternity Home,Maternity Home,Afamaso,Private,6.94912,-1.50873
Ashanti,Sekyere Central,Aframso Health Centre,Health Centre,Aframso No.3,Government,7.14472,-1.12162
Ashanti,Afigya-Kwabre,Afrancho Health Centre,Health Centre,Afrancho,Government,6.81527,-1.59589
Ashanti,Asante-Akim North Municipal,Agogo Presby Hospital,Hospital,Agogo,CHAG,6.79618,-1.08529
Ashanti,Sekyere South,Agona Health Centre,Health Centre,Agona,Government,6.93605,-1.49759
Ashanti,Ejisu-Juaben Municipal,Agyenkwa Clinic,Clinic,Hwireso,Private,6.67522,-1.38159
Ashanti,Obuasi Municipal,Agyenkwa Clinic,Clinic,New  Estate-Obuasi,Private,6.20898,-1.67103
Ashanti,Atwima-Kwanwoma,Ahenema kokoben Health Centre,Health Centre,Ahenema kokoben,Government,6.62597,-1.64978
Ashanti,Afigya-Kwabre,Ahenkro Health Centre,Health Centre,Ahenkro,Government,6.87155,-1.64009
Ashanti,Sekyere East,Ahmadiya Muslim Hospital,Hospital,Effiduase,Private,6.84534,-1.38366
Ashanti,Bekwai Municipal,Ahmadiyaa Mission Hospital,Hospital,Kokofu,Private,6.50986,-1.53649
Ashanti,Bekwai Municipal,Ahwene Memorial Hospital,Hospital,Bekwai,Private,6.45491,-1.57071
