Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Brong Ahafo,Asunafo North Municipal,Ayomso Rural Clinic,Clinic,Ayomso,Government,6.76364,-2.58248
Brong Ahafo,Asunafo North Municipal,Fawohoyeden Clinic,Clinic,Fawohoyeden,Private,6.7375,-2.57282
Brong Ahafo,Asunafo North Municipal,Ayum Forest Clinic,Clinic,Mim,Government,6.90647,-2.56449
Brong Ahafo,Asunafo North Municipal,Agyei Mensah Maternity Home,Maternity Home,Gaoso,Private,6.80205,-2.51738
Brong Ahafo,Asunafo North Municipal,MIM Clinic,Clinic,Mim,Private,6.91361,-2.56503
Brong Ahafo,Asunafo North Municipal,District Assembly Maternity Home,Maternity Home,Mim,Government,6.9004,-2.5589
Brong Ahafo,Asunafo North Municipal,Goaso Hospital,District Hospital,Goaso,Government,6.8057,-2.52181
Brong Ahafo,Asunafo North Municipal,Dankwa Maternity Home,Maternity Home,Kasapin,Private,6.94324,-2.80505
Brong Ahafo,Asunafo North Municipal,Church of Pentecost Clinic,Clinic,Kasapin,CHAG,6.94076,-2.81154
Brong Ahafo,Asunafo North Municipal,Ampenkro Health Centre,Centre,Ampenkro,Government,6.94356,-2.76328
Brong Ahafo,Asunafo North Municipal,Asunafo North District Health Directorate,District Health Directorate,Goaso,Government,6.8057,-2.52181
Brong Ahafo,Asunafo North Municipal,Asumura Rural Clinic,Clinic,Asumura,Government,6.69184,-2.56169
Brong Ahafo,Asunafo North Municipal,Akrodie Health Centre,Health Centre,Akrodie,Government,6.69505,-2.5569
Brong Ahafo,Asunafo South,Kukuom Health Centre,Health Centre,Kukuom,Government,6.69659,-2.43872
Brong Ahafo,Asunafo South,Kwapong Rural Clinic,Clinic,Kwapong,Government,6.6227,-2.47506
Brong Ahafo,Asunafo South,Vic Maternity Home,Maternity Home,Norbeko,Private,6.6507,-2.42445
Brong Ahafo,Asunafo South,Sankore Health Centre,Health Centre,Sankore,Government,6.50285,-2.5017
Brong Ahafo,Asunafo South,Kokooso  Rural Clinic,Clinic,Kokooso,Government,6.64344,-2.58633
Brong Ahafo,Asunafo South,Abuom Rural Clinic,Clinic,Abuom,Government,6.61944,-2.70631
Brong Ahafo,Asunafo South,Asarekrom Rural Clinic,Clinic,Asarekrom,Government,6.57574,-2.63918
Brong Ahafo,Asutifi,Acherensua Health Centre,Health Centre,Acherensua,Government,6.98211,-2.32174
Brong Ahafo,Asutifi,Dadiesoaba Health Centre,Health Centre,Dadiesoaba,Government,6.77932,-2.41997
Brong Ahafo,Asutifi,Sienkyemu Rural Clinic,Clinic,Siekyemu,Government,6.70723,-2.39529
Brong Ahafo,Asutifi,Nyameadom Maternity  Home,Maternity Home,Twabidi No.1,Government,6.83205,-2.362
Brong Ahafo,Asutifi,Gambia No1 Rural Clinic,Clinic,Gambia  No.1,Government,7.0378,-2.6357
Brong Ahafo,Asutifi,Gyedu Health Center,Health Centre,Gyedu,Government,7.06875,-2.3248
Brong Ahafo,Asutifi,Nkasiem Community Clinic,Clinic,Nkasiem,Government,6.86509,-2.44891
Brong Ahafo,Asutifi,St.Elizabeth Hospital,Hospital,Hwidiem,CHAG,6.93279,-2.35805
Brong Ahafo,Asutifi,St. Elizabeth Maternity Home,Maternity Home,Nkensere,Private,6.99387,-2.53687
Brong Ahafo,Asutifi,Esther Nyarko Maternity Home,Maternity Home,Kenyasi,Private,6.98035,-2.38637
Brong Ahafo,Asutifi,Kenyasi Health Centre,Health Centre,Kenyasi,Government,6.97533,-2.3857
Brong Ahafo,Asutifi,Asutifi District Health Directorate,District Health Directorate,Kenyasi,Government,6.97533,-2.3857
Brong Ahafo,Atebubu-Amanten,Akokoa Health Centre,Health Centre,Akokoa,Government,7.58462,-1.15377
Brong Ahafo,Atebubu-Amanten,Amanteng Health Centre,Health Centre,Amanteng,Government,7.53828,-1.20795
Brong Ahafo,Atebubu-Amanten,Jato Zongo Rural Clinic,Clinic,Jato Zongo,Government,7.65363,-1.06465
Brong Ahafo,Atebubu-Amanten,Atebubu RCH/FP Clinic,Clinic,Atebubu,Government,7.74799,-0.98207
Brong Ahafo,Atebubu-Amanten,Atebubu Government Hospital,District Hospital,Atebubu,Government,7.74807,-0.98197
Brong Ahafo,Atebubu-Amanten,Atebubu-Amanten District Health Directorate,District Health Directorate,Atebubu,Government,7.74557,-0.98877
Brong Ahafo,Berekum Municipal,Christie Maternity Home,Maternity Home,Berekum,Private,7.46482,-2.57323
Brong Ahafo,Berekum Municipal,Aggie Maternity Home,Maternity Home,Berekum,Private,7.45745,-2.58685
Brong Ahafo,Berekum Municipal,Palm Avenue Maternity Home,Maternity Home,Berekum,Private,7.44315,-2.58212
Brong Ahafo,Berekum Municipal,Mpatasei Rural Clinic,Clinic,Mpatasei,Government,7.457,-2.58338
Brong Ahafo,Berekum Municipal,Philomina Maternity Home,Maternity Home,Berekum,Private,7.45795,-2.60001
Brong Ahafo,Berekum Municipal,Berekum Nurses/Midwifery Training College,Training Institution,Berekum,Government,7.44325,-2.58805
Brong Ahafo,Berekum Municipal,Angels maternity home,Maternity Home,Berekum,Private,7.46191,-2.59254
Brong Ahafo,Berekum Municipal,Koraso Rural Clinic,Clinic,Koraso,Government,7.48248,-2.02694
Brong Ahafo,Berekum Municipal,Akrofro CHPS,CHPS,Akrofro,Private,7.49397,-2.58871
Brong Ahafo,Berekum Municipal,Emi Maternity Home,Maternity Home,Berekum,Private,7.45051,-2.57339
Brong Ahafo,Berekum Municipal,Amomaso Rural Clinic,Clinic,Amomaso,Government,7.37385,-2.65996
Brong Ahafo,Berekum Municipal,Berekum Zongo RCH/FP Clinic,Clinic,Berekum Zongo,Government,7.45371,-2.58284
